rock_type,mu_log10_K,p_mu_log10_K
Sand,-15,6.66954576272497e-05
Sand,-14.9,7.61093025735342e-05
Sand,-14.8,8.2450661842946e-05
Sand,-14.7,9.14471893783004e-05
Sand,-14.6,0.000110406589392836
Sand,-14.5,0.000138601092414039
Sand,-14.4,0.00016834500510222
Sand,-14.3,0.000193327819930109
Sand,-14.2,0.000209257564539311
Sand,-14.1,0.000214314555404644
Sand,-14,0.000215000443327501
Sand,-13.9,0.000222303192134331
Sand,-13.8,0.000238526895595934
Sand,-13.7,0.000256277403312486
Sand,-13.6,0.000270532953275257
Sand,-13.5,0.000287466989677998
Sand,-13.4,0.000316724018303685
Sand,-13.3,0.000360904631415738
Sand,-13.2,0.000414283123607128
Sand,-13.1,0.000472834328246735
Sand,-13,0.000541939037676936
Sand,-12.9,0.000626436529644883
Sand,-12.8,0.000717262175200417
Sand,-12.7,0.000799415218818723
Sand,-12.6,0.000877674296162968
Sand,-12.5,0.000977149570603002
Sand,-12.4,0.00111611536203787
Sand,-12.3,0.0012793512043576
Sand,-12.2,0.00143563640596286
Sand,-12.1,0.0015702121672005
Sand,-12,0.0016948330815189
Sand,-11.9,0.00182641294834506
Sand,-11.8,0.00196556265578752
Sand,-11.7,0.00211236413766578
Sand,-11.6,0.00228390233108793
Sand,-11.5,0.0024978969426317
Sand,-11.4,0.00275157606059274
Sand,-11.3,0.00303819573483982
Sand,-11.2,0.00336048532613975
Sand,-11.1,0.00371909958679038
Sand,-11,0.00410106606213903
Sand,-10.9,0.00449594192750284
Sand,-10.8,0.00490971952610092
Sand,-10.7,0.00536736955075394
Sand,-10.6,0.00589394607408151
Sand,-10.5,0.00649508133666736
Sand,-10.4,0.00715882532719548
Sand,-10.3,0.00788763234795177
Sand,-10.2,0.00869486242096506
Sand,-10.1,0.00956183474751865
Sand,-10,0.0104250282026492
Sand,-9.9,0.0112353989049591
Sand,-9.8,0.0120391343676776
Sand,-9.7,0.0129449181482016
Sand,-9.6,0.0140271090237977
Sand,-9.5,0.0152991070469216
Sand,-9.4,0.0167649954633692
Sand,-9.3,0.0184599050435086
Sand,-9.2,0.020406258525192
Sand,-9.1,0.0225737267578552
Sand,-9,0.0248878783034547
Sand,-8.9,0.0273015884148446
Sand,-8.8,0.0298300596991963
Sand,-8.7,0.0325314990781653
Sand,-8.6,0.035459100857002
Sand,-8.5,0.0386081947702833
Sand,-8.4,0.0419323691885208
Sand,-8.3,0.0454181572616817
Sand,-8.2,0.0491229337878677
Sand,-8.1,0.0530600579592586
Sand,-8,0.0571543340540434
Sand,-7.9,0.0613744998967227
Sand,-7.8,0.0659032130627821
Sand,-7.7,0.070996662719338
Sand,-7.6,0.0766400388135154
Sand,-7.5,0.0823515481320656
Sand,-7.4,0.0874162144264204
Sand,-7.3,0.0915717946183982
Sand,-7.2,0.0952660814040495
Sand,-7.1,0.0993218126644602
Sand,-7,0.104339300666059
Sand,-6.9,0.110201882909697
Sand,-6.8,0.11637496764301
Sand,-6.7,0.122408357030769
Sand,-6.6,0.128217552850222
Sand,-6.5,0.133967843342538
Sand,-6.4,0.139744412859374
Sand,-6.3,0.145508356093483
Sand,-6.2,0.151228990617636
Sand,-6.1,0.156906490128226
Sand,-6,0.162461238770109
