rock_type,sigma_log10_K,p_sigma_log10_K
Sand,0.001,7.49686514174834e-17
Sand,0.002,7.51773281826476e-17
Sand,0.003,7.53860049478119e-17
Sand,0.004,7.42629384404245e-17
Sand,0.005,5.90052331084553e-17
Sand,0.006,4.37475277764861e-17
Sand,0.007,2.84898224445169e-17
Sand,0.008,2.0415973097776e-17
Sand,0.009,4.68736133163937e-17
Sand,0.01,7.33312535350115e-17
Sand,0.011,9.97888937536292e-17
Sand,0.012,1.12999640140234e-16
Sand,0.013,8.81757443879508e-17
Sand,0.014,6.33518486356681e-17
Sand,0.015,3.85279528833854e-17
Sand,0.016,2.30580672747038e-17
Sand,0.017,2.53926896098081e-17
Sand,0.018,2.77273119449124e-17
Sand,0.019,3.00619342800167e-17
Sand,0.02,3.02251280840054e-17
Sand,0.021,2.75161141491094e-17
Sand,0.022,2.48071002142135e-17
Sand,0.023,2.20980862793175e-17
Sand,0.024,4.71644655432287e-17
Sand,0.025,9.82176710196599e-17
Sand,0.026,1.49270876496091e-16
Sand,0.027,2.00324081972523e-16
Sand,0.028,1.89029690467045e-16
Sand,0.029,1.36642564587129e-16
Sand,0.03,8.42554387072125e-17
Sand,0.031,3.18683128272962e-17
Sand,0.032,5.07011978968004e-17
Sand,0.033,1.0170448563948e-16
Sand,0.034,1.5270777338216e-16
Sand,0.035,2.03711061124839e-16
Sand,0.036,1.97864667314417e-16
Sand,0.037,1.75508896285291e-16
Sand,0.038,1.53153125256166e-16
Sand,0.039,1.3079735422704e-16
Sand,0.04,1.92787793390674e-16
Sand,0.041,2.68388643744502e-16
Sand,0.042,3.43989494098331e-16
Sand,0.043,4.19590344452159e-16
Sand,0.044,4.21372344150789e-16
Sand,0.045,4.19036350114522e-16
Sand,0.046,4.16700356078255e-16
Sand,0.047,4.10919318482201e-16
Sand,0.048,3.05029368031164e-16
Sand,0.049,1.99139417580128e-16
Sand,0.05,9.32494671290919e-17
Sand,0.051,0
Sand,0.052,0
Sand,0.053,0
Sand,0.054,0
Sand,0.055,1.4321372459838e-19
Sand,0.056,8.40187184310487e-19
Sand,0.057,1.53716064402259e-18
Sand,0.058,2.2341341037347e-18
Sand,0.059,2.01967730945462e-17
Sand,0.06,8.01068679394367e-17
Sand,0.061,1.40016962784327e-16
Sand,0.062,1.99927057629217e-16
Sand,0.063,2.75721813956582e-16
Sand,0.064,3.77689224954553e-16
Sand,0.065,4.79656635952524e-16
Sand,0.066,5.81624046950495e-16
Sand,0.067,7.09547747896545e-16
Sand,0.068,8.67479986588474e-16
Sand,0.069,1.0254122252804e-15
Sand,0.07,1.18334446397233e-15
Sand,0.071,1.16025953834926e-15
Sand,0.072,9.89011097450574e-16
Sand,0.073,8.17762656551886e-16
Sand,0.074,6.46514215653201e-16
Sand,0.075,6.73562458289405e-16
Sand,0.076,8.1409741827173e-16
Sand,0.077,9.54632378254056e-16
Sand,0.078,1.09516733823638e-15
Sand,0.079,9.52856824214622e-16
Sand,0.08,7.01700626429775e-16
Sand,0.081,4.50544428644927e-16
Sand,0.082,1.99388230860079e-16
Sand,0.083,1.21071298262301e-16
Sand,0.084,8.37670726580629e-17
Sand,0.085,4.64628470538245e-17
Sand,0.086,9.15862144958606e-18
Sand,0.087,4.59622980648045e-17
Sand,0.088,9.1522707108579e-17
Sand,0.089,1.37083116152353e-16
Sand,0.09,1.82643525196127e-16
Sand,0.091,1.63444736983016e-16
Sand,0.092,1.42953350022263e-16
Sand,0.093,1.2246196306151e-16
Sand,0.094,1.06512536855153e-16
Sand,0.095,1.54284148291363e-16
Sand,0.096,2.02055759727573e-16
Sand,0.097,2.49827371163782e-16
Sand,0.098,2.83426767314518e-16
Sand,0.099,2.38352199124102e-16
Sand,0.1,1.93277630933685e-16
Sand,0.101,1.48203062743269e-16
Sand,0.102,1.59921818775097e-16
Sand,0.103,3.52727485646691e-16
Sand,0.104,5.45533152518285e-16
Sand,0.105,7.38338819389879e-16
Sand,0.106,9.21547615834285e-16
Sand,0.107,1.08481110928243e-15
Sand,0.108,1.24807460273058e-15
Sand,0.109,1.41133809617873e-15
Sand,0.11,1.42198999789173e-15
Sand,0.111,1.21389861811768e-15
Sand,0.112,1.00580723834363e-15
Sand,0.113,7.97715858569578e-16
Sand,0.114,6.5105405919142e-16
Sand,0.115,5.665473864343e-16
Sand,0.116,4.82040713677179e-16
Sand,0.117,3.97534040920059e-16
Sand,0.118,3.9062163192013e-16
Sand,0.119,4.39170894666111e-16
Sand,0.12,4.87720157412091e-16
Sand,0.121,5.3626942015807e-16
Sand,0.122,4.99781278796395e-16
Sand,0.123,4.21271730141755e-16
Sand,0.124,3.42762181487116e-16
Sand,0.125,2.64252632832477e-16
Sand,0.126,2.29485974499451e-16
Sand,0.127,2.08884759923424e-16
Sand,0.128,1.88283545347396e-16
Sand,0.129,1.67682330771369e-16
Sand,0.13,1.34123336819757e-16
Sand,0.131,9.81234588462331e-17
Sand,0.132,6.21235808727088e-17
Sand,0.133,2.61237028991846e-17
Sand,0.134,9.91669640256106e-17
Sand,0.135,1.80722031368698e-16
Sand,0.136,2.62277098711785e-16
Sand,0.137,3.43799009765405e-16
Sand,0.138,4.22933667977429e-16
Sand,0.139,5.02068326189452e-16
Sand,0.14,5.81202984401476e-16
Sand,0.141,6.51074464057367e-16
Sand,0.142,6.37395705756006e-16
Sand,0.143,6.23716947454645e-16
Sand,0.144,6.10038189153284e-16
Sand,0.145,5.84663448444782e-16
Sand,0.146,5.08072616353441e-16
Sand,0.147,4.31481784262099e-16
Sand,0.148,3.54890952170756e-16
Sand,0.149,3.01411010162831e-16
Sand,0.15,3.097817955724e-16
Sand,0.151,3.18152580981968e-16
Sand,0.152,3.26523366391537e-16
Sand,0.153,3.44511967450343e-16
Sand,0.154,3.79739057760243e-16
Sand,0.155,4.14966148070143e-16
Sand,0.156,4.50193238380042e-16
Sand,0.157,5.03419587530223e-16
Sand,0.158,5.79164833203044e-16
Sand,0.159,6.54910078875865e-16
Sand,0.16,7.30655324548686e-16
Sand,0.161,7.17882033228917e-16
Sand,0.162,6.2671594162051e-16
Sand,0.163,5.35549850012103e-16
Sand,0.164,4.44383758403696e-16
Sand,0.165,4.39213659606492e-16
Sand,0.166,4.87552178558479e-16
Sand,0.167,5.35890697510466e-16
Sand,0.168,5.84229216462452e-16
Sand,0.169,6.19951772067503e-16
Sand,0.17,6.50332749876638e-16
Sand,0.171,6.80713727685773e-16
Sand,0.172,7.11094705494907e-16
Sand,0.173,7.50792016258758e-16
Sand,0.174,7.92986011784666e-16
Sand,0.175,8.35180007310574e-16
Sand,0.176,8.77374002836482e-16
Sand,0.177,7.44180852265759e-16
Sand,0.178,5.85876342969792e-16
Sand,0.179,4.27571833673825e-16
Sand,0.18,2.69267324377858e-16
Sand,0.181,2.01184977761579e-16
Sand,0.182,1.36777668321662e-16
Sand,0.183,7.23703588817442e-17
Sand,0.184,1.22702497868754e-17
Sand,0.185,3.95704143602701e-17
